iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
185	111800	126000	48765	55297	56433
186	111803	126000	48771	55306	56433
187	111798	126000	48769	55307	56433
188	111803	126000	48776	55316	56433
189	111799	126000	48774	55316	56433
190	111803	126000	48778	55320	56433
191	111796	126000	48774	55319	56433
192	111804	126000	48780	55323	56433
193	111796	126000	48771	55313	56433
194	111799	126000	48784	55336	56433
195	111801	126000	48777	55320	56433
196	111797	126000	48779	55328	56433
197	111797	126000	48780	55330	56433
198	111787	126000	48776	55332	56433
199	111790	126000	48775	55327	56433
200	111794	126000	48776	55325	56433
201	111791	126000	48776	55328	56433
202	111797	126000	48777	55324	56433
203	111798	126000	48780	55329	56433
204	111798	126000	48776	55321	56433
205	111797	126000	48777	55324	56433
206	111800	126000	48780	55327	56433
207	111795	126000	48779	55330	56433
208	111796	126000	48777	55325	56433
209	111800	126000	48782	55331	56433
210	111803	126000	48783	55330	56433
211	111800	126000	48784	55335	56433
212	111805	126000	48790	55342	56433
213	111808	126000	48792	55343	56433
214	111801	126000	48786	55338	56433
215	111796	126000	48784	55339	56433
216	111801	126000	48789	55344	56433
217	111807	126000	48792	55344	56433
218	111803	126000	48790	55344	56433
219	111817	126000	48797	55344	56433
220	111812	126000	48794	55343	56433
221	111816	126000	48798	55347	56433
222	111819	126000	48796	55340	56433
223	111821	126000	48794	55334	56433
224	111820	126000	48792	55331	56433
225	111825	126000	48797	55336	56433
226	111824	126000	48802	55347	56433
227	111818	126000	48798	55345	56433
228	111822	126000	48800	55345	56433
229	111815	126000	48793	55338	56433
230	111807	126000	48789	55338	56433
231	111807	126000	48785	55330	56433
232	111808	126000	48785	55329	56433
233	111812	126000	48788	55331	56433
234	111806	126000	48785	55331	56433
235	111809	126000	48788	55334	56433
236	111808	126000	48790	55339	56433
237	111811	126000	48790	55336	56433
238	111811	126000	48792	55340	56433
239	111814	126000	48792	55337	56433
240	111818	126000	48797	55343	56433
241	111816	126000	48794	55339	56433
242	111817	126000	48796	55342	56433
243	111814	126000	48793	55339	56433
244	111818	126000	48796	55341	56433
245	111816	126000	48795	55341	56433
246	111814	126000	48793	55339	56433
