iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
806	112000	126000	48918	55403	56433
807	111999	126000	48918	55404	56433
808	112000	126000	48916	55399	56433
809	112000	126000	48916	55399	56433
810	112002	126000	48916	55397	56433
811	112002	126000	48918	55401	56433
812	112000	126000	48918	55403	56433
813	111999	126000	48917	55402	56433
814	112000	126000	48917	55401	56433
815	112002	126000	48918	55401	56433
816	112004	126000	48918	55399	56433
817	112005	126000	48918	55398	56433
818	112006	126000	48920	55401	56433
819	112006	126000	48920	55401	56433
820	112007	126000	48919	55398	56433
821	112004	126000	48919	55401	56433
822	112005	126000	48920	55402	56433
823	112002	126000	48920	55405	56433
824	111999	126000	48919	55406	56433
825	112000	126000	48920	55407	56433
826	112001	126000	48920	55406	56433
827	112000	126000	48919	55405	56433
828	111997	126000	48918	55406	56433
829	112000	126000	48918	55403	56433
830	112000	126000	48919	55405	56433
831	112004	126000	48922	55407	56433
832	112005	126000	48923	55408	56433
833	112005	126000	48923	55408	56433
834	112002	126000	48920	55405	56433
835	112001	126000	48920	55406	56433
836	112001	126000	48920	55406	56433
837	112002	126000	48919	55403	56433
838	112001	126000	48919	55404	56433
839	112001	126000	48919	55404	56433
840	112003	126000	48919	55402	56433
841	112005	126000	48920	55402	56433
842	112002	126000	48917	55399	56433
843	111999	126000	48916	55400	56433
844	112000	126000	48916	55399	56433
845	112000	126000	48916	55399	56433
846	112003	126000	48918	55400	56433
847	112005	126000	48921	55404	56433
848	112007	126000	48923	55406	56433
849	112007	126000	48923	55406	56433
850	112006	126000	48923	55407	56433
851	112006	126000	48924	55409	56433
852	112007	126000	48924	55408	56433
853	112006	126000	48925	55411	56433
854	112006	126000	48923	55407	56433
855	112006	126000	48924	55409	56433
856	112008	126000	48925	55409	56433
857	112009	126000	48926	55410	56433
858	112009	126000	48925	55408	56433
859	112009	126000	48925	55408	56433
860	112008	126000	48925	55409	56433
861	112007	126000	48923	55406	56433
862	112007	126000	48923	55406	56433
863	112006	126000	48923	55407	56433
864	112006	126000	48923	55407	56433
865	112008	126000	48925	55409	56433
866	112010	126000	48926	55409	56433
867	112009	126000	48925	55408	56433
868	112012	126000	48927	55409	56433
869	112012	126000	48927	55409	56433
870	112014	126000	48928	55409	56433
871	112015	126000	48928	55408	56433
872	112014	126000	48929	55411	56433
873	112013	126000	48928	55410	56433
874	112012	126000	48927	55409	56433
875	112013	126000	48928	55410	56433
876	112013	126000	48928	55410	56433
877	112013	126000	48927	55408	56433
878	112015	126000	48927	55406	56433
879	112014	126000	48927	55407	56433
880	112016	126000	48929	55409	56433
881	112014	126000	48929	55411	56433
882	112017	126000	48931	55412	56433
883	112017	126000	48933	55416	56433
884	112018	126000	48933	55415	56433
885	112017	126000	48933	55416	56433
886	112013	126000	48933	55420	56433
887	112014	126000	48933	55419	56433
888	112015	126000	48934	55420	56433
889	112016	126000	48935	55421	56433
890	112016	126000	48935	55421	56433
891	112016	126000	48935	55421	56433
892	112016	126000	48935	55421	56433
893	112018	126000	48937	55423	56433
894	112018	126000	48937	55423	56433
895	112017	126000	48935	55420	56433
896	112016	126000	48934	55419	56433
897	112017	126000	48934	55418	56433
898	112016	126000	48934	55419	56433
899	112017	126000	48934	55418	56433
900	112016	126000	48933	55417	56433
901	112016	126000	48932	55415	56433
902	112016	126000	48932	55415	56433
903	112018	126000	48933	55415	56433
904	112016	126000	48934	55419	56433
905	112015	126000	48933	55418	56433
906	112014	126000	48932	55417	56433
907	112013	126000	48932	55418	56433
908	112014	126000	48933	55419	56433
909	112013	126000	48933	55420	56433
910	112015	126000	48933	55418	56433
911	112015	126000	48933	55418	56433
912	112014	126000	48934	55421	56433
913	112014	126000	48934	55421	56433
914	112013	126000	48935	55424	56433
915	112016	126000	48937	55425	56433
916	112016	126000	48936	55423	56433
917	112017	126000	48937	55424	56433
918	112015	126000	48936	55424	56433
919	112015	126000	48935	55422	56433
920	112011	126000	48933	55422	56433
921	112015	126000	48934	55420	56433
922	112014	126000	48933	55419	56433
923	112015	126000	48933	55418	56433
924	112015	126000	48934	55420	56433
925	112020	126000	48935	55417	56433
926	112018	126000	48934	55417	56433
927	112018	126000	48934	55417	56433
928	112017	126000	48933	55416	56433
929	112018	126000	48934	55417	56433
930	112018	126000	48934	55417	56433
931	112016	126000	48933	55417	56433
932	112015	126000	48933	55418	56433
933	112016	126000	48933	55417	56433
934	112017	126000	48933	55416	56433
935	112021	126000	48933	55412	56433
936	112021	126000	48931	55408	56433
937	112021	126000	48931	55408	56433
938	112019	126000	48930	55408	56433
939	112021	126000	48930	55406	56433
940	112022	126000	48931	55407	56433
941	112021	126000	48931	55408	56433
942	112022	126000	48932	55409	56433
943	112023	126000	48932	55408	56433
944	112023	126000	48933	55410	56433
945	112024	126000	48934	55411	56433
946	112026	126000	48934	55409	56433
947	112026	126000	48934	55409	56433
948	112027	126000	48935	55410	56433
949	112025	126000	48934	55410	56433
950	112025	126000	48934	55410	56433
951	112025	126000	48934	55410	56433
952	112022	126000	48933	55411	56433
953	112021	126000	48934	55414	56433
954	112020	126000	48933	55413	56433
955	112019	126000	48933	55414	56433
956	112017	126000	48933	55416	56433
957	112018	126000	48934	55417	56433
958	112022	126000	48935	55415	56433
959	112021	126000	48936	55418	56433
960	112021	126000	48936	55418	56433
961	112022	126000	48936	55417	56433
962	112021	126000	48937	55420	56433
963	112020	126000	48936	55419	56433
964	112021	126000	48936	55418	56433
965	112022	126000	48937	55419	56433
966	112022	126000	48938	55421	56433
967	112023	126000	48938	55420	56433
968	112022	126000	48938	55421	56433
969	112024	126000	48939	55421	56433
970	112027	126000	48940	55420	56433
971	112026	126000	48940	55421	56433
972	112023	126000	48940	55424	56433
973	112018	126000	48938	55425	56433
974	112021	126000	48940	55426	56433
975	112019	126000	48939	55426	56433
976	112021	126000	48941	55428	56433
977	112023	126000	48944	55432	56433
978	112024	126000	48944	55431	56433
979	112022	126000	48944	55433	56433
980	112021	126000	48943	55432	56433
981	112018	126000	48940	55429	56433
982	112019	126000	48942	55432	56433
983	112020	126000	48942	55431	56433
984	112023	126000	48944	55432	56433
985	112023	126000	48943	55430	56433
986	112022	126000	48944	55433	56433
987	112023	126000	48945	55434	56433
988	112022	126000	48945	55435	56433
989	112021	126000	48944	55434	56433
990	112022	126000	48945	55435	56433
991	112024	126000	48946	55435	56433
992	112027	126000	48947	55434	56433
993	112025	126000	48948	55438	56433
994	112025	126000	48950	55442	56433
995	112022	126000	48949	55443	56433
996	112023	126000	48950	55444	56433
997	112020	126000	48948	55443	56433
998	112020	126000	48948	55443	56433
999	112023	126000	48948	55440	56433
