iter	Logloss
0	0.6605424475
1	0.6303585675
2	0.6027434851
3	0.5780559825
4	0.5550536973
5	0.5344195939
6	0.515507431
7	0.4978380946
8	0.4819718055
9	0.4676118752
10	0.4542992198
11	0.4426035558
12	0.4315022446
13	0.421083707
14	0.411631867
15	0.4031141224
16	0.3949877758
17	0.3874864646
18	0.3809597059
19	0.3748177741
20	0.3689529188
21	0.3636468812
22	0.3586218071
23	0.3539261956
24	0.3496052934
25	0.3458292113
26	0.3422923759
27	0.3386739983
28	0.3352585567
29	0.3322314146
30	0.3294373815
31	0.3267244607
32	0.3241137529
33	0.3217200504
34	0.3196058715
35	0.3176622804
36	0.3157128512
37	0.3139029416
38	0.3121668144
39	0.3106031946
40	0.3090542893
41	0.3075645736
42	0.3062309394
43	0.3048315668
44	0.3035544578
45	0.3023692444
46	0.3011809744
47	0.3000854128
48	0.2990413353
49	0.2980760486
50	0.2971402934
51	0.2962287031
52	0.2953661447
53	0.2945246464
54	0.293711602
55	0.2929673086
56	0.2922472715
57	0.2915434136
58	0.2908567526
59	0.2901944555
60	0.2895464947
61	0.28896014
62	0.2883780623
63	0.2878310234
64	0.2873034492
65	0.2867914533
66	0.2862801488
67	0.2858279413
68	0.2853650182
69	0.2849266279
70	0.2845025749
71	0.2840884237
72	0.2836871261
73	0.2833204361
74	0.2829520675
75	0.2825829441
76	0.2822410527
77	0.2819159913
78	0.2815960469
79	0.2812843265
80	0.2809924844
81	0.2807058498
82	0.2804146974
83	0.2801401283
84	0.2798936631
85	0.2796328576
86	0.2794100919
87	0.2791584873
88	0.278924275
89	0.2787059846
90	0.2785132622
91	0.2782958192
92	0.2781075672
93	0.2779238007
94	0.2777014895
95	0.2775226682
96	0.2773492884
97	0.2771623704
98	0.2769893798
99	0.2768430004
100	0.2766755893
101	0.276529327
102	0.2763849146
103	0.2762181937
104	0.2760759136
105	0.2759406149
106	0.2758191076
107	0.2756688832
108	0.2755433382
109	0.2753892019
110	0.2752623982
111	0.2751389117
112	0.2750301276
113	0.2749219364
114	0.274819601
115	0.2747173871
116	0.2746017169
117	0.2744942807
118	0.2743753841
119	0.2742857933
120	0.2741781098
121	0.274075834
122	0.2739900016
123	0.2739058227
124	0.2738205307
125	0.2737454702
126	0.2736824106
127	0.2736000005
128	0.2735184651
129	0.2734425137
130	0.2733790231
131	0.2733144004
132	0.2732326632
133	0.2731667366
134	0.2730935363
135	0.2730298306
136	0.2729578853
137	0.2728945767
138	0.2728249372
139	0.2727634645
140	0.2726953881
141	0.2726313196
142	0.2725672393
143	0.2725050103
144	0.2724485016
145	0.2723929609
146	0.2723377808
147	0.2722784122
148	0.2722242559
149	0.2721734632
150	0.2721160319
151	0.2720671515
152	0.2720174411
153	0.2719714007
154	0.2719212205
155	0.271877889
156	0.2718321121
157	0.2717903602
158	0.2717390283
159	0.2716989731
160	0.2716653952
161	0.2716162641
162	0.2715736316
163	0.2715274268
164	0.2714823042
165	0.2714497814
166	0.2714139975
167	0.2713826982
168	0.2713468172
169	0.2713144064
170	0.2712705605
171	0.2712348292
172	0.2711988807
173	0.2711655039
174	0.2711274655
175	0.2710970611
176	0.2710650422
177	0.2710339984
178	0.271005578
179	0.2709737318
180	0.2709464684
181	0.2709205497
182	0.2708932413
183	0.2708599294
184	0.2708336896
185	0.2708128447
186	0.2707862825
187	0.2707618899
188	0.2707288001
189	0.2707043923
190	0.2706738422
191	0.2706506813
192	0.2706257455
193	0.2706025478
194	0.2705822378
195	0.2705591857
196	0.2705324291
197	0.2705083357
198	0.2704798995
199	0.2704566928
