iter	Passed	Remaining
0	440	87736
1	851	84340
2	1280	84097
3	1479	72495
4	1728	67424
5	1923	62181
6	2127	58645
7	2385	57262
8	2592	55017
9	2783	52880
10	3049	52390
11	3312	51900
12	3571	51370
13	3763	50001
14	3961	48857
15	4167	47922
16	4370	47042
17	4624	46760
18	4962	47276
19	5286	47582
20	5599	47731
21	5913	47847
22	6237	48002
23	6621	48557
24	6935	48545
25	7311	48933
26	7585	48604
27	7971	48967
28	8356	49275
29	8718	49406
30	9086	49534
31	9468	49708
32	9779	49488
33	10096	49294
34	10414	49096
35	10731	48886
36	11043	48649
37	11363	48445
38	11683	48231
39	11995	47981
40	12371	47976
41	12681	47706
42	12993	47441
43	13370	47405
44	13685	47140
45	14084	47151
46	14460	47072
47	14826	46949
48	15140	46657
49	15516	46550
50	15875	46381
51	16191	46082
52	16572	45965
53	16818	45473
54	17194	45331
55	17511	45030
56	17883	44864
57	18197	44552
58	18577	44398
59	18942	44200
60	19339	44068
61	19720	43893
62	19996	43485
63	20368	43282
64	20738	43072
65	20996	42628
66	21365	42413
67	21614	41958
68	21947	41667
69	22323	41458
70	22748	41331
71	23087	41045
72	23409	40725
73	23727	40400
74	24037	40062
75	24375	39769
76	24634	39350
77	25029	39148
78	25417	38930
79	25807	38711
80	26197	38486
81	26570	38236
82	26934	37967
83	27248	37629
84	27621	37370
85	28015	37136
86	28271	36719
87	28525	36305
88	28782	35897
89	29054	35510
90	29367	35176
91	29708	34875
92	30116	34650
93	30441	34328
94	30755	33993
95	31080	33670
96	31441	33386
97	31815	33113
98	32136	32785
99	32546	32546
100	32746	32098
101	33140	31841
102	33447	31499
103	33753	31156
104	34170	30916
105	34552	30641
106	34880	30316
107	35226	30007
108	35542	29672
109	35936	29402
110	36343	29140
111	36680	28820
112	37066	28538
113	37462	28261
114	37863	27985
115	38231	27684
116	38613	27392
117	38879	27018
118	39254	26719
119	39588	26392
120	39985	26106
121	40377	25814
122	40697	25477
123	41009	25134
124	41328	24797
125	41647	24459
126	41985	24133
127	42378	23837
128	42772	23541
129	43155	23237
130	43556	22942
131	43935	22633
132	44267	22300
133	44636	21984
134	44942	21638
135	45262	21299
136	45632	20984
137	45943	20641
138	46320	20327
139	46636	19987
140	47008	19670
141	47274	19309
142	47658	18996
143	47970	18655
144	48355	18341
145	48660	17997
146	49033	17678
147	49431	17367
148	49757	17031
149	50165	16721
150	50563	16408
151	50939	16086
152	51347	15773
153	51717	15448
154	52109	15128
155	52519	14813
156	52896	14487
157	53279	14162
158	53645	13833
159	54050	13512
160	54382	13173
161	54734	12839
162	55120	12512
163	55507	12184
164	55893	11856
165	56307	11532
166	56695	11203
167	56941	10845
168	57297	10510
169	57672	10177
170	58069	9848
171	58461	9516
172	58842	9183
173	59226	8849
174	59621	8517
175	59987	8180
176	60381	7846
177	60772	7511
178	61182	7177
179	61563	6840
180	61889	6496
181	62212	6152
182	62592	5814
183	62968	5475
184	63315	5133
185	63583	4785
186	63919	4443
187	64314	4105
188	64701	3765
189	65010	3421
190	65451	3084
191	65833	2743
192	66250	2402
193	66606	2059
194	66803	1712
195	67181	1371
196	67598	1029
197	67852	685
198	68235	342
199	68612	0
