iter	Logloss
0	0.6607582649
1	0.631255588
2	0.6036999955
3	0.578691408
4	0.5557466887
5	0.5355669915
6	0.5165033312
7	0.4989629833
8	0.4830438254
9	0.4684327321
10	0.455064743
11	0.4429354513
12	0.4318089767
13	0.4214807879
14	0.4124241717
15	0.4037920237
16	0.3959183098
17	0.3885744341
18	0.3816628393
19	0.3753801626
20	0.36970591
21	0.3643918063
22	0.3594134324
23	0.3548301741
24	0.3504295147
25	0.3463018772
26	0.3425873497
27	0.339189796
28	0.3360403311
29	0.3328963902
30	0.3301139154
31	0.3274915404
32	0.3250223243
33	0.3226215466
34	0.3204839632
35	0.3184114197
36	0.316454748
37	0.3145805934
38	0.3128575915
39	0.3112349432
40	0.3097278968
41	0.3082503854
42	0.3068444918
43	0.3054985316
44	0.3043369138
45	0.3031470775
46	0.3019428578
47	0.3008366912
48	0.2998406534
49	0.2988665372
50	0.2979231108
51	0.297008781
52	0.2961176311
53	0.2953083539
54	0.2944898699
55	0.2937040833
56	0.2929947598
57	0.2922715784
58	0.2915483228
59	0.2908948013
60	0.290250028
61	0.2896622268
62	0.2890681365
63	0.2885292817
64	0.2879858374
65	0.2874478328
66	0.2869730949
67	0.2864870937
68	0.2860364091
69	0.2855842042
70	0.2851515164
71	0.2847761801
72	0.284372007
73	0.284008056
74	0.2836030079
75	0.283232792
76	0.2829283007
77	0.2825830172
78	0.2822680831
79	0.2819544797
80	0.2816727706
81	0.281373039
82	0.2811111794
83	0.2808464071
84	0.2805790815
85	0.280318749
86	0.2800786324
87	0.2798427057
88	0.2796123455
89	0.2793824523
90	0.2791860453
91	0.2789737254
92	0.2787475931
93	0.2785476284
94	0.2783364623
95	0.278150965
96	0.2779638095
97	0.2777967441
98	0.2776380264
99	0.277475818
100	0.2773193654
101	0.2771670381
102	0.2770176243
103	0.2768558468
104	0.2767256055
105	0.2765967963
106	0.2764542661
107	0.2763225418
108	0.2761969821
109	0.2760712644
110	0.2759312322
111	0.2758090944
112	0.2756986387
113	0.2755876357
114	0.2754694116
115	0.2753640193
116	0.2752569132
117	0.2751682278
118	0.2750669651
119	0.2749669809
120	0.2748782201
121	0.2747819298
122	0.274686373
123	0.2746032639
124	0.2745242042
125	0.2744459553
126	0.274359406
127	0.2742673946
128	0.2741788184
129	0.2741005315
130	0.2740338748
131	0.273957756
132	0.2738863784
133	0.2738193471
134	0.2737502318
135	0.2736752815
136	0.273610237
137	0.2735596579
138	0.2735057103
139	0.2734385469
140	0.2733744619
141	0.2733175331
142	0.2732639975
143	0.2732058249
144	0.2731429593
145	0.2730880559
146	0.2730330497
147	0.2729869577
148	0.2729416131
149	0.2728905123
150	0.2728420001
151	0.2728040832
152	0.2727509551
153	0.2727066026
154	0.2726567739
155	0.2726059671
156	0.272555947
157	0.2725134986
158	0.2724795364
159	0.2724308888
160	0.2724016921
161	0.2723532175
162	0.2723139376
163	0.2722815001
164	0.272236952
165	0.2721968236
166	0.2721637706
167	0.2721227206
168	0.2720876529
169	0.272046137
170	0.272011449
171	0.271983826
172	0.2719525184
173	0.271918088
174	0.2718842227
175	0.271853929
176	0.27182153
177	0.2717895415
178	0.2717627733
179	0.2717373325
180	0.2717084145
181	0.2716777601
182	0.2716477749
183	0.2716143544
184	0.2715867276
185	0.2715586054
186	0.2715368027
187	0.2715118825
188	0.271476445
189	0.2714498346
190	0.2714142392
191	0.2713966111
192	0.2713728545
193	0.2713540406
194	0.2713305515
195	0.2713062448
196	0.2712744431
197	0.2712490229
198	0.2712274902
199	0.2712076319
