iter	Passed	Remaining
0	422	84032
1	846	83784
2	1098	72155
3	1518	74410
4	1780	69444
5	2039	65954
6	2243	61863
7	2506	60153
8	2716	57641
9	2914	55370
10	2997	51500
11	3258	51043
12	3519	50623
13	3669	48757
14	3867	47704
15	4125	47442
16	4444	47839
17	4770	48238
18	5109	48672
19	5446	49017
20	5903	50321
21	6226	50382
22	6593	50739
23	6853	50260
24	7226	50582
25	7539	50457
26	7868	50418
27	8183	50269
28	8383	49434
29	8756	49621
30	9007	49106
31	9274	48690
32	9594	48552
33	9993	48791
34	10376	48917
35	10781	49115
36	11108	48937
37	11543	49212
38	11869	48999
39	12248	48993
40	12635	49002
41	13019	48976
42	13441	49076
43	13861	49145
44	14244	49064
45	14649	49044
46	14963	48709
47	15225	48213
48	15606	48092
49	16034	48102
50	16388	47878
51	16749	47671
52	17078	47367
53	17481	47265
54	17807	46947
55	18196	46791
56	18501	46415
57	18874	46209
58	19202	45890
59	19636	45819
60	20103	45808
61	20429	45471
62	20671	44952
63	21005	44637
64	21423	44495
65	21630	43917
66	21940	43554
67	22272	43234
68	22651	43005
69	23015	42742
70	23383	42484
71	23693	42122
72	24082	41896
73	24458	41644
74	24752	41254
75	25161	41052
76	25443	40644
77	25760	40291
78	26119	40005
79	26507	39760
80	26913	39539
81	27184	39118
82	27522	38796
83	27895	38522
84	28349	38355
85	28767	38133
86	29023	37697
87	29344	37347
88	29666	36999
89	29936	36588
90	30851	36953
91	31304	36748
92	31679	36447
93	32057	36150
94	32337	35741
95	32653	35374
96	33050	35094
97	33459	34825
98	33716	34397
99	34108	34108
100	34432	33750
101	34695	33335
102	35078	33034
103	35511	32779
104	35969	32543
105	36388	32269
106	36766	31955
107	37157	31652
108	37472	31284
109	37806	30932
110	38180	30613
111	38503	30252
112	38795	29869
113	39049	29458
114	39394	29117
115	39706	28753
116	40067	28424
117	40411	28082
118	40726	27721
119	41018	27345
120	41422	27044
121	41738	26685
122	42139	26379
123	42457	26022
124	42716	25630
125	43108	25317
126	43496	25001
127	43704	24583
128	44085	24264
129	44412	23914
130	44664	23525
131	45018	23191
132	45469	22905
133	45867	22591
134	46279	22282
135	46651	21953
136	47067	21644
137	47441	21314
138	47746	20953
139	48114	20620
140	48560	20319
141	48956	19996
142	49342	19668
143	49746	19345
144	50121	19011
145	50508	18681
146	50888	18347
147	51151	17972
148	51536	17640
149	51944	17314
150	52350	16987
151	52714	16646
152	53153	16328
153	53449	15965
154	53835	15629
155	54221	15293
156	54623	14960
157	54959	14609
158	55427	14292
159	55737	13934
160	55982	13560
161	56363	13221
162	56719	12874
163	57035	12519
164	57421	12180
165	57794	11837
166	58039	11468
167	58430	11129
168	58757	10778
169	59129	10434
170	59436	10079
171	59805	9735
172	60180	9392
173	60509	9041
174	60844	8692
175	61204	8346
176	61615	8006
177	62069	7671
178	62489	7331
179	62888	6987
180	63273	6641
181	63615	6291
182	64003	5945
183	64389	5599
184	64789	5253
185	65159	4904
186	65537	4556
187	65966	4210
188	66371	3862
189	66735	3512
190	67124	3162
191	67430	2809
192	67745	2457
193	68100	2106
194	68466	1755
195	68847	1405
196	69212	1053
197	69583	702
198	69780	350
199	70170	0
