iter	Logloss
0	0.6608518964
1	0.6309083858
2	0.6038803787
3	0.5787689758
4	0.5558864897
5	0.5349705851
6	0.5161247899
7	0.4986631523
8	0.4832464367
9	0.4686094181
10	0.4552317555
11	0.4433996549
12	0.4322140158
13	0.4219016957
14	0.4123859603
15	0.4039887904
16	0.3961974904
17	0.3887272313
18	0.3818728063
19	0.3757057175
20	0.3701185577
21	0.3646948207
22	0.3599108876
23	0.3552235865
24	0.3509330852
25	0.3470114667
26	0.3430848866
27	0.3397226496
28	0.3364413846
29	0.3335323909
30	0.3307530904
31	0.3280043471
32	0.3254709435
33	0.3231773873
34	0.321024716
35	0.3188524391
36	0.3168589284
37	0.3150773578
38	0.3134820706
39	0.3118813413
40	0.3103226152
41	0.3088545278
42	0.3074418862
43	0.3061081781
44	0.3048516017
45	0.3037304601
46	0.3025737695
47	0.3014740742
48	0.3004620561
49	0.2995341351
50	0.2986119357
51	0.2976572025
52	0.2967818668
53	0.2960080238
54	0.295181885
55	0.2943999692
56	0.293675977
57	0.293008413
58	0.2923209901
59	0.2916697533
60	0.2910312447
61	0.2904536173
62	0.2898543843
63	0.2893139178
64	0.2887826641
65	0.2882663134
66	0.287779675
67	0.2872957192
68	0.2868080484
69	0.2863780047
70	0.2859623346
71	0.2855503628
72	0.2851603697
73	0.2847892359
74	0.2843989136
75	0.2840470872
76	0.2837043675
77	0.2833740111
78	0.2830346085
79	0.2826970096
80	0.2824232469
81	0.2821349972
82	0.2818595241
83	0.2815983921
84	0.2813544651
85	0.2810707721
86	0.2808330968
87	0.2805913297
88	0.2803750866
89	0.2801423337
90	0.2799332662
91	0.2797037233
92	0.27952489
93	0.2793200785
94	0.2791338042
95	0.2789240287
96	0.2787279438
97	0.2785364587
98	0.2783566899
99	0.2781959967
100	0.2780386084
101	0.2778874338
102	0.2777306578
103	0.2775732821
104	0.2774237495
105	0.2772741225
106	0.2771495847
107	0.2770197942
108	0.2768904942
109	0.2767583827
110	0.2766307704
111	0.2765123978
112	0.2763929444
113	0.2762821861
114	0.2761741328
115	0.2760699492
116	0.2759634007
117	0.2758621487
118	0.2757698609
119	0.2756779955
120	0.2755732516
121	0.27547567
122	0.2753940832
123	0.2752993391
124	0.2752166295
125	0.2751273862
126	0.2750396158
127	0.2749547175
128	0.274875408
129	0.2747975716
130	0.2747333534
131	0.2746677181
132	0.2745957232
133	0.2745299047
134	0.2744615127
135	0.2743919346
136	0.2743207434
137	0.2742570891
138	0.2741967498
139	0.2741395061
140	0.2740742192
141	0.2740177816
142	0.2739611931
143	0.2739097512
144	0.2738485417
145	0.2737962657
146	0.2737379659
147	0.2736842548
148	0.2736325382
149	0.2735878359
150	0.2735347334
151	0.2734863812
152	0.2734447556
153	0.2733998497
154	0.2733527831
155	0.2733040237
156	0.2732591797
157	0.2732195364
158	0.2731758791
159	0.2731350541
160	0.2730998378
161	0.2730588259
162	0.2730191225
163	0.2729770102
164	0.2729417216
165	0.2729015013
166	0.2728677519
167	0.2728302963
168	0.2727933179
169	0.2727556148
170	0.2727252549
171	0.2726887703
172	0.272658755
173	0.2726318448
174	0.2726031398
175	0.2725683286
176	0.2725361309
177	0.2725092658
178	0.2724759019
179	0.2724484425
180	0.2724178092
181	0.2723887369
182	0.272358092
183	0.2723316131
184	0.2723057483
185	0.2722813783
186	0.2722499042
187	0.2722250662
188	0.2721920361
189	0.2721689978
190	0.2721417522
191	0.2721217173
192	0.2720939917
193	0.2720660858
194	0.2720420698
195	0.2720254033
196	0.2720063969
197	0.2719830658
198	0.2719553332
199	0.2719365665
